"","ID.medlyn","file.medlyn","variable.medlyn","model.medlyn","deviance_SS.medlyn","numIter.medlyn","BIC.medlyn","k25.medlyn","Ea.medlyn","delS.medlyn","Hd.medlyn","minT.medlyn","maxT.medlyn","ID.new","file.new","variable.new","model.new","deviance_SS.new","numIter.new","BIC.new","k25.new","Ea.new","delS.new","Hd.new","minT.new","maxT.new"
"37","B_4","GHS39_GREAT_MAIN_ACiT_20160216-20160227_L0.csv","Jmax","Medlyn",92008.970481999,56,219.240498760024,134.172858528664,50.99363109033,0.231607670837771,70.7382191973779,19.5099573876923,42.4249890646667,"B_4","GHS39_GREAT_MAIN_ACiT_20160216-20160227_L0.csv","Jmax","New",91962.98485306,12,219.231500200035,134.324170191069,50.99363109033,0.235648142179397,71.6518323158322,19.5099573876923,42.4249890646667
"38","B_5","GHS39_GREAT_MAIN_ACiT_20160216-20160227_L0.csv","Jmax","Medlyn",190435.058294352,6,288.444806464688,160.834263575901,61.3767239291665,0.535074135413494,166.739076485909,20.240832465,42.3033060706667,"B_5","GHS39_GREAT_MAIN_ACiT_20160216-20160227_L0.csv","Jmax","New",190193.870947024,18,288.415658340072,161.375921674576,61.3767239291665,0.523892021291736,162.94783264359,20.240832465,42.3033060706667
"39","Betula alleghaniensis_r1_35","nick_smith.csv","Jmax","Medlyn",398.347673850504,38,51.1594539873148,64.100649130205,40.5572671756395,0.571207095361734,181.951993750938,14,50,"Betula alleghaniensis_r1_35","nick_smith.csv","Jmax","New",333.305356590111,18,50.0898572686001,63.6399671284606,40.5572671756395,0.554907615340015,176.398949366964,14,50
"40","Betula alleghaniensis_r2_25","nick_smith.csv","Jmax","Medlyn",2333.58881590275,1,61.7664786846593,53.1095282655094,4.14965035310285,0.65,263,14,50,"Betula alleghaniensis_r2_25","nick_smith.csv","Jmax","New",2341.8061534306,12,61.7875695555946,53.0724257955823,12.4489510593086,2.0902220064588,10.839558690597,14,50
"41","Betula alleghaniensis_r2_30","nick_smith.csv","Jmax","Medlyn",725.10996994347,35,54.753442885424,53.2088925046332,9.13674733200887,0.86709023971131,279.642698387616,14,50,"Betula alleghaniensis_r2_30","nick_smith.csv","Jmax","New",619.646061417972,31,53.8103936073333,53.1954295183597,9.13674733200887,0.755634481632805,243.214780630419,14,50
"42","Betula alleghaniensis_r2_35","nick_smith.csv","Jmax","Medlyn",41.5190404300917,12,37.5924156945997,45.2732332361951,39.6965979298573,0.444664203986222,141.753852976828,14,50,"Betula alleghaniensis_r2_35","nick_smith.csv","Jmax","New",35.2552319661232,27,36.6111865861199,45.2035966265152,39.6965979298573,0.427901861667017,135.996559211043,14,50
"43","Betula alleghaniensis_r3_30","nick_smith.csv","Jmax","Medlyn",1724.20587495337,1,59.9506340959499,52.6726715446923,3.48787511816167,0.65,257,14,50,"Betula alleghaniensis_r3_30","nick_smith.csv","Jmax","New",1731.82821599794,57,59.9771003397535,52.6372042829001,1.02467988924787,0.000380685177370456,0.147823191697251,14,50
"44","Betula alleghaniensis_r3_35","nick_smith.csv","Jmax","Medlyn",194.863836954103,33,40.5508905451869,66.6685504788547,22.9933120796492,0.761198664167159,246.553475520016,23,50,"Betula alleghaniensis_r3_35","nick_smith.csv","Jmax","New",158.258815476368,30,39.5105441594696,65.5416213489454,22.9933120796492,0.668172293622644,216.112968901807,23,50
"45","Betula papyrifera_44","dillaway_etal.csv","Jmax","Medlyn",886.84999662736,32,55.9615580583199,184.631547881293,121.138628097958,0.437392875038462,131.483350641161,22.9671428571429,36.3185714285714,"Betula papyrifera_44","dillaway_etal.csv","Jmax","New",884.504557419757,49,55.9456689259747,184.675064740002,121.138628097958,0.441558575170093,132.584911657234,22.9671428571429,36.3185714285714
"46","Betula papyrifera_r4_15","nick_smith.csv","Jmax","Medlyn",582.33627281197,2,46.0246256781104,25.5967971015572,7.95833918070032,0.724506225160564,232.245298903907,14,41,"Betula papyrifera_r4_15","nick_smith.csv","Jmax","New",670.375735917809,13,46.728577107411,25.5776416947259,23.8750139306022,2.82471231908278,18.416243953373,14,41
"47","Betula pendula_summer","Betula_pendula_Pinus_sylvestris_wang_etal.csv","Jmax","Medlyn",1846.74847738304,19,162.245193063355,119.292568383643,34.5902106664417,0.675328875412528,204.624991830145,5.35,32.1,"Betula pendula_summer","Betula_pendula_Pinus_sylvestris_wang_etal.csv","Jmax","New",1701.1409573776,51,160.602646351307,119.203517013947,34.5902106664417,0.636818796507758,192.584985560467,5.35,32.1
"48","Betula_pendula_summer","DreyerSevenSpp_final.csv","Jmax","Medlyn",4748.03225408948,95,210.897679990847,123.421669612176,58.9687614698089,0.346323493591607,106.813994558049,10.7440909090909,39.989,"Betula_pendula_summer","DreyerSevenSpp_final.csv","Jmax","New",4747.73064967027,238,210.896155414857,123.424046927518,56.5862204126746,0.34662226697695,106.891852559875,10.7440909090909,39.989
"49","C.g.","Angelica_Varhammar_tropical_species_with_gs.csv","Jmax","Medlyn",1928.24848290313,97,100.037316922151,81.9738998446307,59.3735586767764,0.357327225740748,109.719558583817,19.72125,39.26625,"C.g.","Angelica_Varhammar_tropical_species_with_gs.csv","Jmax","New",1937.52913260193,20,100.09013286397,82.0687167325281,59.3735586767764,0.348471148430555,106.620907815888,19.72125,39.26625
"50","C.s.","Angelica_Varhammar_tropical_species_with_gs.csv","Jmax","Medlyn",19413.3879424796,112,244.695263789284,138.982341446192,10.6044841503293,2.8868110957513,903.155318802229,21.12,39.84875,"C.s.","Angelica_Varhammar_tropical_species_with_gs.csv","Jmax","New",17835.2666923405,15,242.660420041078,137.374551804654,10.6044841503293,2.82219246215567,882.741491643986,21.12,39.84875
"51","callitris_NA","gwwACidata_processed_new.csv","Jmax","Medlyn",10826.6128993781,397,100.359858142982,44.3974119645654,485.306754647054,1.17589484340182,351.25205719229,25.7974320466667,29.2270139157143,"callitris_NA","gwwACidata_processed_new.csv","Jmax","New",10733.8543792145,361,100.28241716534,36.8715129573619,681.702362794947,1.86053329937077,555.796426108731,25.7974320466667,29.2270139157143
"52","Castilla Elastica_13/08/2014","alida_mao_Aci_PuertoRico.csv","Jmax","Medlyn",23.990804995943,93,34.3015267198342,49.1357502471723,60.9500749376719,1.48635073702378,463.871671835164,23.378743935,34.941771696,"Castilla Elastica_13/08/2014","alida_mao_Aci_PuertoRico.csv","Jmax","New",23.9777165839164,18,34.2982524694916,49.1355486760151,58.4562136887246,1.48407253830874,463.160148147884,23.378743935,34.941771696
"53","Cedrela odorata_r1_30","nick_smith.csv","Jmax","Medlyn",552.989335672041,68,53.1275352302522,60.7841056751457,25.7750923148706,0.765189736505632,245.28957877869,14,50,"Cedrela odorata_r1_30","nick_smith.csv","Jmax","New",459.460957162049,11,52.0158267497947,60.5064831896166,25.7750923148706,0.713096443913472,228.140794972953,14,50
