"","ID.medlyn","file.medlyn","variable.medlyn","model.medlyn","deviance_SS.medlyn","numIter.medlyn","BIC.medlyn","k25.medlyn","Ea.medlyn","delS.medlyn","Hd.medlyn","minT.medlyn","maxT.medlyn","ID.new","file.new","variable.new","model.new","deviance_SS.new","numIter.new","BIC.new","k25.new","Ea.new","delS.new","Hd.new","minT.new","maxT.new"
"69","E. tereticornis_Ambient_3","WTC3_ACidata_processed.csv","Vcmax","Medlyn",10578.0994928647,28,80.8391065673098,72.3764680138695,123.167509244034,0.698641583758787,216.613078068047,21.1432016554545,41.9204677227273,"E. tereticornis_Ambient_3","WTC3_ACidata_processed.csv","Vcmax","New",10695.1605677982,32,80.9161456100445,72.0807344876823,123.167509244034,0.690831663665553,213.974287776199,21.1432016554545,41.9204677227273
"70","E. tereticornis_Ambient_5","WTC3_ACidata_processed.csv","Vcmax","Medlyn",28680.9471447166,36,198.258744080037,95.6814617621256,83.747413460952,0.317388232912432,95.988296895461,19.9539027733333,42.0355245409091,"E. tereticornis_Ambient_5","WTC3_ACidata_processed.csv","Vcmax","New",28657.8293632519,25,198.24422964097,95.7241187141648,83.747413460952,0.322431221283459,97.3170856594443,19.9539027733333,42.0355245409091
"71","E. tereticornis_Elevated_2","WTC3_ACidata_processed.csv","Vcmax","Medlyn",37944.7495638445,35,213.031360568379,89.9236765461912,63.0361074522824,0.56482735795323,176.874030266054,19.97742157,42.0813688809091,"E. tereticornis_Elevated_2","WTC3_ACidata_processed.csv","Vcmax","New",37945.0637451062,26,213.031517887094,89.9219086218126,60.5990493655703,0.564555958366601,176.777296747255,19.97742157,42.0813688809091
"72","E.e.","Angelica_Varhammar_tropical_species_with_gs.csv","Vcmax","Medlyn",561.770836903643,159,132.988304614606,24.6670914966614,101.911285039206,0.392713785333138,119.573521587,20.112,40.61875,"E.e.","Angelica_Varhammar_tropical_species_with_gs.csv","Vcmax","New",561.738571767758,22,132.987213324089,24.6664928278973,99.4441418188394,0.393149005685058,119.706273421011,20.112,40.61875
"73","E.i.","Angelica_Varhammar_tropical_species_with_gs.csv","Vcmax","Medlyn",4017.94001351247,29,235.178543368505,86.0879866017518,53.1139648406353,0.3569092686167,114.732535447671,20.394,40.422,"E.i.","Angelica_Varhammar_tropical_species_with_gs.csv","Vcmax","New",4017.86162557584,63,235.177997097623,86.0863019276449,50.6631481293088,0.356758377320565,114.663457068732,20.394,40.422
"74","E.salmonophloia_Summer","gwwACidata_processed_new.csv","Vcmax","Medlyn",1345.3367244173,36,74.0998888136716,65.085568789128,138.263449290866,0.477052420872193,142.305554352163,19.8008742266667,34.6966643266667,"E.salmonophloia_Summer","gwwACidata_processed_new.csv","Vcmax","New",1344.58581968536,40,74.0954223370998,65.1349880618397,138.263449290866,0.481956473202987,143.643397817213,19.8008742266667,34.6966643266667
"75","E.salubris_Summer","gwwACidata_processed_new.csv","Vcmax","Medlyn",159.985892135012,79,51.4989186270854,44.8160278178715,35.6614607094366,2.26893754396576,700.125319693406,24.5403066585714,32.7914600766667,"E.salubris_Summer","gwwACidata_processed_new.csv","Vcmax","New",159.975551407502,77,51.4984661657401,44.8166972869134,33.164527073188,2.26746930980666,699.671390799188,24.5403066585714,32.7914600766667
"76","Elymus canadensis_r1_35","nick_smith.csv","Vcmax","Medlyn",140.164407386372,44,44.8923993617519,10.9959196531936,37.6275556442079,0.561235602768177,178.274414877945,14,50,"Elymus canadensis_r1_35","nick_smith.csv","Vcmax","New",136.594229919649,67,44.737591162463,10.9205074510113,37.6275556442079,0.556338847245404,176.385704027217,14,50
"77","Elymus canadensis_r2_20","nick_smith.csv","Vcmax","Medlyn",175.485248838898,19,46.240832852268,25.7213341135013,44.4642811488969,0.891682467716209,283.667649974715,14,50,"Elymus canadensis_r2_20","nick_smith.csv","Vcmax","New",152.46750564481,20,45.3972119028534,25.6726928491959,44.4642811488969,0.857045770929145,272.209113593184,14,50
"78","Elymus canadensis_r4_35","nick_smith.csv","Vcmax","Medlyn",21.492254842701,29,33.6416587113717,5.82280044822395,54.2111864057832,0.642664022285439,205.094582043233,14,50,"Elymus canadensis_r4_35","nick_smith.csv","Vcmax","New",21.4797232471975,29,33.6381592413219,5.78666951086549,52.7061938243534,0.634860655124475,202.468759670118,14,50
