,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
1133,40.84664305,200,0.648253075,164.3078662,1720.321728,103.5784708,Jmax,Old,31,38.40161835,200,0.648273619,164.3070506,1720.725095,103.5812842,Jmax,New,31
1134,56.23769831,200,0.640022465,105.2481048,122.0686538,30.56984276,Jmax,Old,32,53.77158888,200,0.640044203,105.2400568,121.8145497,30.56150748,Jmax,New,32
1901,60.7977065,105.6981818,0.343497473,66.97971135,3451.905658,122.2796694,Jmax,Old,33,58.86564496,102.470514,0.333492832,66.9832012,3468.575259,122.3422966,Jmax,New,33
1135,52.0044871,200,0.642449066,65.51309681,3154.892739,118.5450848,Jmax,Old,33,49.54464467,200,0.642469125,65.50720447,3154.449766,118.5432593,Jmax,New,33
2061,33.64067495,570.3449673,1.829873322,166.720115,4741.410816,126.4059771,Jmax,Old,34,31.14637104,569.1802943,1.826129805,166.715873,4741.63794,126.4065999,Jmax,New,34
1136,41.68956701,200,0.637229674,167.1481856,4803.478221,124.0101,Jmax,Old,34,39.21255028,200,0.637254953,167.1452569,4803.423756,124.0099526,Jmax,New,34
1961,371.2321489,355.0228968,1.199966072,80.20400363,792.9571865,47.56823149,Jmax,Old,35,368.4613588,354.8116804,1.199239986,80.20329879,792.8879445,47.56779486,Jmax,New,35
1137,42.21775926,200,0.63203402,85.68297823,899.6898358,46.5901978,Jmax,Old,35,39.74239477,200,0.632075978,85.6807318,899.8044247,46.59083459,Jmax,New,35
2003,64.26983445,133.7966568,0.440790243,171.8817038,5550.921225,66.96581801,Jmax,Old,36,61.77793039,133.9158806,0.441175367,171.8798963,5550.758731,66.96564236,Jmax,New,36
1138,6.078959123,200,0.632530318,177.8959058,5787.214785,65.42418196,Jmax,Old,36,3.596691446,200,0.632560988,177.8945215,5787.317344,65.42428829,Jmax,New,36
2121,4.181163921,1860.44076,5.90688363,176.9880105,518.0471452,45.43971659,Jmax,Old,37,1.646616983,1858.482504,5.900669241,177.0022285,519.7165217,45.45580289,Jmax,New,37
1139,33.71852294,200,0.638686234,166.5655352,944.6196215,46.83385907,Jmax,Old,37,31.22870369,200,0.638703561,166.5688893,944.7255502,46.83441973,Jmax,New,37
124,22.53815615,2766.956246,8.868846489,167.0418142,18.68540281,28.82809844,Jmax,Old,38,20.03685457,2760.982846,8.849708829,167.0301301,18.55245591,28.7923962,Jmax,New,38
1140,39.34598376,200,0.641789221,171.0686391,4339.015657,54.45696139,Jmax,Old,38,36.86518921,200,0.641804882,171.0638072,4339.004076,54.45694805,Jmax,New,38
2482,120.2379923,144.8332909,0.481418331,227.5524144,10141.58008,118.2976661,Jmax,Old,39,117.7444303,144.9434969,0.481772158,227.5505181,10140.43063,118.2964193,Jmax,New,39
1141,49.6188551,200,0.634685515,219.9348743,12788.4997,118.4506983,Jmax,Old,39,47.1417883,200,0.634711251,219.9206362,12790.4628,118.4523867,Jmax,New,39
1142,41.15181258,200,0.630924772,201.3379698,7587.695271,129.9535389,Jmax,Old,40,38.6651723,200,0.630953311,201.3246593,7588.737875,129.955325,Jmax,New,40
79,95.46503069,107.1547549,0.357032537,97.52941164,7451.172552,157.5655841,Jmax,Old,41,92.96035637,107.2795572,0.357424602,97.52898102,7451.150579,157.565537,Jmax,New,41
1143,38.50799149,200,0.62692488,94.87352595,7665.318608,155.2463501,Jmax,Old,41,36.01218941,200,0.62695664,94.86736276,7666.233671,155.24826,Jmax,New,41
1144,32.92460761,200,0.620433786,92.60281607,1883.476872,82.42264344,Jmax,Old,42,30.42749215,200,0.620491243,92.59483226,1883.946838,82.42488884,Jmax,New,42
1904,54.2979412,148.1137249,0.469744979,79.31135781,2955.395783,104.7345425,Jmax,Old,43,51.83653903,148.1001007,0.469735963,79.30951741,2955.346805,104.7343602,Jmax,New,43
1145,46.73746247,200,0.630651226,78.97082853,2967.609283,102.3820123,Jmax,Old,43,44.24368919,200,0.630676667,78.9671387,2967.631845,102.3820959,Jmax,New,43
1963,224.6646487,218.2715886,0.736076777,80.1562951,604.1268942,74.38605368,Jmax,Old,44,221.9490885,218.1607179,0.735677055,80.15442311,604.1000646,74.38565398,Jmax,New,44
1146,54.54858022,200,0.631451868,75.88318258,847.1437078,75.23160383,Jmax,Old,44,52.05642952,200,0.63147653,75.8798476,847.4114967,75.23444836,Jmax,New,44
1975,73.82218031,358.2326165,1.189789762,148.0965169,1349.320979,58.47964353,Jmax,Old,45,71.40376958,358.2489257,1.189852516,148.1026455,1348.891386,58.47773296,Jmax,New,45
1147,83.84375757,200,0.67138669,127.3227724,2130.485735,59.42837512,Jmax,Old,45,81.41473943,200,0.67139389,127.3100947,2131.389464,59.43091972,Jmax,New,45
2412,46.09330636,153.9478509,0.48651375,134.517131,31.72904719,31.47554821,Jmax,Old,46,43.66935918,153.5967612,0.485454325,134.516442,31.77421187,31.4826604,Jmax,New,46
1148,42.31662161,200,0.631101188,133.8393971,34.72771448,30.3176377,Jmax,Old,46,39.8346527,200,0.631132887,133.8288175,34.85491144,30.33591771,Jmax,New,46
