"","ID","file","variable","model","deviance_SS","numIter","BIC","k25","Ea","delS","Hd","minT","maxT","AIC"
"1344","Pinus pinea_r1_30","nick_smith.csv","Jmax","New",40.5009296063914,74,37.4434524917878,20.429383828156,14.3661474920655,0.447871295265314,144.534619443805,14,50,38.4846551456476
"1345","Pinus pinea_r1_35","nick_smith.csv","Vcmax","New",142.941214537699,65,45.0101036807768,46.6199982295498,53.9205611892103,0.392912602538402,123.714178460949,14,50,46.0513063346365
"1346","Pinus pinea_r1_35","nick_smith.csv","Jmax","New",385.78953121914,62,50.9672547183269,65.9949964058615,37.5944013947883,0.358630413894068,113.66525555246,14,50,52.0084573721866
"1347","Pinus pinea_r2_15","nick_smith.csv","Vcmax","New",674.525037032122,15,54.3195556953532,31.4198871584257,31.5687391090666,0.601087277978461,189.391940115197,14,50,55.3607583492129
"1348","Pinus pinea_r2_15","nick_smith.csv","Jmax","New",230.03797996033,17,47.864969482546,38.7000445485111,6.06815424137174,0.740852874540671,239.094428236079,14,50,48.9061721364057
"1349","Pinus pinea_r2_20","nick_smith.csv","Vcmax","New",6.07520447508027,36,26.0607968118857,18.2568726287869,32.0687256533352,0.308262651558365,97.7099862133214,14,50,27.1019994657454
"1350","Pinus pinea_r2_20","nick_smith.csv","Jmax","New",74.9468703111831,20,41.1361797291551,33.4536517473077,1.13957365159889,0.70173991964871,229.095954591076,14,50,42.1773823830148
"1351","Pinus pinea_r2_25","nick_smith.csv","Vcmax","New",27.8402555888516,19,35.1944010255767,21.8164904109544,92.7817952500661,0.250460830448819,65.1855262883193,14,50,36.2356036794364
"1352","Pinus pinea_r2_25","nick_smith.csv","Jmax","New",156.810749618649,23,45.5657409000749,48.5855508030873,4.04302552190606,0.547519401409698,178.75139621643,14,50,46.6069435539346
"1353","Pinus pinea_r2_30","nick_smith.csv","Vcmax","New",13.6998476070825,12,30.9398111844376,40.2062128404346,45.617229768187,0.378078259903541,119.506076499661,14,50,31.9810138382973
"1354","Pinus pinea_r2_30","nick_smith.csv","Jmax","New",119.791261649358,47,43.9500073804104,53.8042696512481,23.8060647918389,0.345861830156909,110.84991594729,14,50,44.9912100342702
"1355","Pinus pinea_r2_35","nick_smith.csv","Vcmax","New",500.499715483266,15,52.5291451109687,47.7613826683148,120.643212774125,0.314312737994568,83.5834080425461,14,50,53.5703477648284
"1356","Pinus pinea_r2_35","nick_smith.csv","Jmax","New",1353.49943100989,15,58.498195061248,81.1682208099132,38.4767014380762,0.258287497174545,80.8783165881374,14,50,59.5393977151077
"1357","Pinus pinea_r3_15","nick_smith.csv","Vcmax","New",NA,NA,NA,NA,NA,NA,NA,15,50,NA
"1358","Pinus pinea_r3_15","nick_smith.csv","Jmax","New",25.5326546648154,31,30.3891763721378,29.2584830503174,0,1.24801849360865,404.977745867423,15,50,32.3419868099673
"1359","Pinus pinea_r3_20","nick_smith.csv","Vcmax","New",18.2184733225151,16,32.6501195113551,15.6618514434487,29.5096991990019,0.448149851100347,142.713723770389,14,50,33.6913221652148
"1360","Pinus pinea_r3_20","nick_smith.csv","Jmax","New",75.5173225601367,20,41.1816753361524,27.0894890638129,0,0.674273653138221,218.606997251741,14,50,42.2228779900122
"1361","Pinus pinea_r3_25","nick_smith.csv","Vcmax","New",91.4032032702412,60,42.3271860766261,41.4216684981044,42.7051870481867,0.334605909724305,105.415933921962,14,50,43.3683887304858
"1362","Pinus pinea_r3_25","nick_smith.csv","Jmax","New",621.3046731411,19,53.8264324007963,71.8078410054147,0,0.525954280997034,172.072807933534,14,50,54.867635054656
"1363","Pinus pinea_r3_30","nick_smith.csv","Vcmax","New",8.1859302180606,29,27.850004050151,20.4157911629516,47.2592458205917,0.361025299498759,113.851037723493,14,50,28.8912067040107
"1364","Pinus pinea_r3_30","nick_smith.csv","Jmax","New",70.6637203527137,25,40.7830966813045,33.9026378915043,16.4066846027409,0.440083339394634,141.897195442279,14,50,41.8242993351642
"1365","Pinus pinea_r3_35","nick_smith.csv","Vcmax","New",94.0350539665378,18,42.4975086929818,46.2008973711935,60.542009632986,0.425419848078748,134.148966527275,14,50,43.5387113468415
"1366","Pinus pinea_r3_35","nick_smith.csv","Jmax","New",351.691891903767,26,50.4120358404375,77.1012418690363,33.6392912329614,0.432235973609074,137.77007466145,14,50,51.4532384942972
"1367","Pinus pinea_r4_35","nick_smith.csv","Vcmax","New",100.540848376348,116,42.8988875077843,24.9228598285918,58.3713564374196,0.403003853487844,126.770577773312,14,50,43.940090161644
"1368","Pinus pinea_r4_35","nick_smith.csv","Jmax","New",163.519093991075,31,45.8170815272606,39.5226325709749,28.6700997172293,0.370979596250815,118.363534713962,14,50,46.8582841811203
"1369","Pinus radiata","Pinus_radiata_Walcroft.csv","Vcmax","New",588.455326712387,16,186.430864394498,29.4877971212604,51.0802329439624,3.70279123018885,1133.45093432818,8.076875,29.995,179.594385244566
"1370","Pinus radiata","Pinus_radiata_Walcroft.csv","Jmax","New",1470.76000946397,11,212.995837229036,51.1304277339996,36.1999987424691,1.4014991351587,427.765346623746,8.076875,29.995,206.159358079103
"1371","Pinus sylvestris_r1_15","nick_smith.csv","Vcmax","New",394.911990048901,93,44.0826999824092,22.4190235006152,10.1244593722622,0.000230180999814551,0.0565799503944732,14,50,46.0355104202387
"1372","Pinus sylvestris_r1_15","nick_smith.csv","Jmax","New",534.663909466404,2,45.5975770464803,37.1956210400862,0,0.729923302183772,236.417310429402,14,50,47.5503874843098
"1373","Pinus sylvestris_r1_20","nick_smith.csv","Vcmax","New",6.30688737463528,72,26.2853565511563,17.8354302785661,36.4026624315699,0.491059099750767,156.232467072091,14,50,27.3265592050161
"1374","Pinus sylvestris_r1_20","nick_smith.csv","Jmax","New",63.2359414232964,23,40.1167399267155,24.4781008177138,0,0.565890581335466,182.163447981999,14,50,41.1579425805753
"1375","Pinus sylvestris_r1_25","nick_smith.csv","Vcmax","New",74.1468804269062,29,41.0717909087383,43.6427182170598,20.3281896364444,0.361148574140345,116.194714816725,14,50,42.112993562598
"1376","Pinus sylvestris_r1_25","nick_smith.csv","Jmax","New",995.545560968282,23,56.6552482654864,74.2613290804696,0,0.411228640185024,133.661983316047,14,50,57.6964509193461
"1377","Pinus sylvestris_r1_30","nick_smith.csv","Vcmax","New",NA,NA,NA,NA,NA,NA,NA,14,50,NA
"1378","Pinus sylvestris_r1_30","nick_smith.csv","Jmax","New",187.739170805798,27,46.6458245903285,30.9733838317539,4.57669603632501,0.536613932938655,174.020055364253,14,50,47.6870272441882
"1379","Pinus sylvestris_r1_35","nick_smith.csv","Vcmax","New",26.569784332689,9,34.9141507859721,24.7939321523396,54.1916909214921,0.406697859046673,128.311528705536,14,50,35.9553534398318
"1380","Pinus sylvestris_r1_35","nick_smith.csv","Jmax","New",421.007349727549,43,51.4914046771189,49.6802612506117,10.9200407214132,0.524349544285373,169.000541187644,14,50,52.5326073309786
"1381","Pinus sylvestris_r2_15","nick_smith.csv","Vcmax","New",138.339051276816,20,44.8137483206652,36.5508917628084,13.395810103629,0.729688242585945,234.462828604058,14,50,45.854950974525
"1382","Pinus sylvestris_r2_15","nick_smith.csv","Jmax","New",739.486185541452,32,54.8712365362298,66.5192461424296,0,0.76646607888182,246.466515291169,14,50,55.9124391900896
"1383","Pinus sylvestris_r2_20","nick_smith.csv","Vcmax","New",475.287150903044,36,52.219017826816,36.353263136793,7.07589297991902,0.607233856090012,195.66247008684,14,50,53.2602204806758
"1384","Pinus sylvestris_r2_20","nick_smith.csv","Jmax","New",490.798149363229,28,52.4117005822845,50.9257534356828,0,0.463826010636024,150.209472650959,14,50,53.4529032361442
"1385","Pinus sylvestris_r2_25","nick_smith.csv","Vcmax","New",50.976251133523,11,38.8236620905515,35.5304295960032,65.6815313903132,0.261431693877123,79.5139801715137,14,50,39.8648647444112
"1386","Pinus sylvestris_r2_25","nick_smith.csv","Jmax","New",324.87391011444,37,49.9361257582582,49.7816243392917,6.4724829864561,0.601039666722964,194.742123389742,14,50,50.9773284121179
"1387","Pinus sylvestris_r2_30","nick_smith.csv","Vcmax","New",902.609937988464,23,56.0672459156312,69.8512279110983,28.9339033836053,0.4940132831274,157.704469293407,14,50,57.1084485694909
"1388","Pinus sylvestris_r2_30","nick_smith.csv","Jmax","New",1758.89817643641,22,60.0701600644725,94.6047481780147,6.45625213810657,0.431156127933596,139.851998096759,14,50,61.1113627183323
"1389","Pinus sylvestris_r2_35","nick_smith.csv","Vcmax","New",6.48167372169756,79,26.4493755336184,27.8942964328765,47.3390610965614,0.374869554674838,118.31867120453,14,50,27.4905781874781
"1390","Pinus sylvestris_r2_35","nick_smith.csv","Jmax","New",426.18308639716,28,51.5647171345198,55.7146452691921,7.87601038803204,0.569801293599705,184.266039290501,14,50,52.6059197883796
"1391","Pinus sylvestris_r3_15","nick_smith.csv","Vcmax","New",599.428814667933,13,53.6113662867051,36.5121774674483,0,0.719211307647832,230.597433575926,14,50,54.6525689405649
"1392","Pinus sylvestris_r3_15","nick_smith.csv","Jmax","New",1297.65075731312,22,58.2453677226151,72.819084013042,0,0.710260205068911,224.54091999131,14,50,59.2865703764749
"1393","Pinus sylvestris_r3_20","nick_smith.csv","Vcmax","New",500.683158487978,48,52.5313438262468,40.2546516585323,11.3875009453389,0.910151389896856,292.197440478255,14,50,53.5725464801065
"1394","Pinus sylvestris_r3_20","nick_smith.csv","Jmax","New",697.856004350699,181,54.5235796331577,71.9805591034276,0,0.590739790976253,188.396076641174,14,50,55.5647822870174
"1395","Pinus sylvestris_r3_25","nick_smith.csv","Vcmax","New",2554.20154044,65,53.4168600578605,47.9533610436252,2.59905970127682,0.000365487542910643,0.087696440618227,14,50,55.36967049569
"1396","Pinus sylvestris_r3_25","nick_smith.csv","Jmax","New",1342.87674843564,30,50.2022324270222,60.6997838183276,0,5.23125107695514,8.54237257979525,14,50,52.1550428648517
"1397","Pinus sylvestris_r3_35","nick_smith.csv","Vcmax","New",30.0224107657015,23,35.6471676990331,24.7245699102785,50.8114641159149,0.348336840483752,109.449401258412,14,50,36.6883703528929
"1398","Pinus sylvestris_r3_35","nick_smith.csv","Jmax","New",246.695736531657,14,48.2844373775696,47.1935744877908,11.6677881132075,0.545766353430635,175.891229354248,14,50,49.3256400314293
"1399","Pinus sylvestris_summer","Betula_pendula_Pinus_sylvestris_wang_etal.csv","Vcmax","New",5434.84668965589,105,183.833289048526,92.5915248754582,62.6138432111283,0.724163545131364,220.489941319282,5.33333333333333,31.6428571428571,178.854627680756
"1400","Pinus sylvestris_summer","Betula_pendula_Pinus_sylvestris_wang_etal.csv","Jmax","New",957.912291306987,59,149.116681621282,93.5386678481343,35.581105844865,0.588825010908279,177.714539589043,5.33333333333333,31.6428571428571,144.138020253512
"1401","Pinus sylvestris_TAR_FNEC1H","scots_pine_tarvainen.csv","Vcmax","New",297.835966492683,23,42.6720997667575,74.7584805616264,89.6729607185442,0.261303369945455,73.8220916118157,15,35,44.624910204587
"1402","Pinus sylvestris_TAR_FNEC1H","scots_pine_tarvainen.csv","Jmax","New",216.590202558969,19,41.0794208353839,139.801676438487,54.8395884064859,0.267054590275507,79.9042348820062,15,35,43.0322312732134
"1403","Pinus sylvestris_TAR_FNWC1H","scots_pine_tarvainen.csv","Vcmax","New",2394.07972519311,20,53.0931562702922,134.686258950708,64.0268101046701,0.386996183838902,116.980498747211,15,35,55.0459667081217
"1404","Pinus sylvestris_TAR_FNWC1H","scots_pine_tarvainen.csv","Jmax","New",418.370655075336,6,44.371224203236,189.233084476676,49.0754266196822,0.363246749227184,110.639920820059,15,35,46.3240346410655
"1405","Pinus sylvestris_TAR_FSWC1H","scots_pine_tarvainen.csv","Vcmax","New",213.329483920999,17,41.0035745490592,96.9130083515152,66.6841824213953,0.530460237654959,164.759232392068,15,35,42.9563849868887
"1406","Pinus sylvestris_TAR_FSWC1H","scots_pine_tarvainen.csv","Jmax","New",161.787796780699,150,39.6208132328103,194.333929095877,99.6253631530344,0.407126896439846,121.142873018265,15,35,41.5736236706398
"1407","Pinus sylvestris_TAR_NNEC1H","scots_pine_tarvainen.csv","Vcmax","New",45.4516962232714,32,33.2726360349024,80.2674475512725,139.484644667217,0.426167228863651,124.496313967733,15,35,35.2254464727319
"1408","Pinus sylvestris_TAR_NNEC1H","scots_pine_tarvainen.csv","Jmax","New",15.7407719238915,132,27.9706567518735,160.39109434027,64.7405252516102,0.494584698912193,152.381437729334,15,35,29.923467189703
"1409","Pinus sylvestris_TAR_NNWC1H","scots_pine_tarvainen.csv","Vcmax","New",117.170397889335,74,38.0075316695654,95.6370564985277,136.032701811999,0.397697477323388,115.323724750718,15,35,39.9603421073949
"1410","Pinus sylvestris_TAR_NNWC1H","scots_pine_tarvainen.csv","Jmax","New",NA,NA,NA,NA,NA,NA,NA,15,35,NA
"1411","Pinus sylvestris_TAR_NSWC1H","scots_pine_tarvainen.csv","Vcmax","New",81.3861211577965,10,36.185409115669,88.4569609406131,142.524334008816,1.95092549797222,97.5131022341338,15,35,38.1382195534985
"1412","Pinus sylvestris_TAR_NSWC1H","scots_pine_tarvainen.csv","Jmax","New",27.2006229546414,22,30.705584710966,181.777118447307,51.3260344080974,0.429331411954964,132.359334352953,15,35,32.6583951487955
"1413","Pinus taeda","Pteada_Ellsworth.csv","Vcmax","New",782.808235701955,86,150.803702273149,24.8335446827367,61.6386204377185,16.2108912519676,5000,10.0614285714286,35.04625,145.581090084531
"1414","Pinus taeda","Pteada_Ellsworth.csv","Jmax","New",NA,NA,NA,NA,NA,NA,NA,10.0614285714286,35.04625,NA
"1415","Piper glabrescens_15","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",64.7847350308375,15,35.0447353575236,18.694109040624,213.807744470134,0.54701358160108,161.333010599585,22.7999347033333,39.86952114,36.9975457953531
"1416","Piper glabrescens_15","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",86.9288369411596,27,36.5148344207674,48.3629583414505,106.502252251904,0.40110742298659,121.267326584886,22.7999347033333,39.86952114,38.4676448585969
"1417","Piper glabrescens_17","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",20.8386254494639,9,29.3734266189992,11.0502538029917,99.8133196566595,0.43207928862653,13.5246758086504,21.9554721525,39.8710320775,31.3262370568287
"1418","Piper glabrescens_17","kelsey_cater_Aci_PuertoRico.csv","Jmax","New",6.85405420601181,44,23.8135869924934,35.9351929327009,38.1813247612303,0.371882292384263,120.759888938405,21.9554721525,39.8710320775,25.7663974303229
"1419","Piper glabrescens_25","kelsey_cater_Aci_PuertoRico.csv","Vcmax","New",1069.17366894182,32,57.0833510717278,14.0808846223211,105.825688354627,0.0533688796598189,40.1969278945093,22.8833068216667,39.9294300091667,58.1245537255876
