,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
55,86.50353309,75.04064026,0.248414897,52.07317943,6859.687119,180.5324436,Vcmax,Old,33,74.71500834,135.7844973,0.436777603,52.18323877,6680.679356,180.0300428,Vcmax,New,33
1334,70.50220861,200,0.640330862,51.29520544,6603.38403,176.8644926,Vcmax,Old,33,68.0400002,200,0.640353756,51.29079708,6603.406978,176.8645586,Vcmax,New,33
210,242.9469615,190.7760637,0.652518478,81.81625,1886.040681,114.4218624,Vcmax,Old,34,49.601534,-190.6866568,-0.652184819,81.81693073,1885.961588,114.4213172,Vcmax,New,34
1335,75.80228859,200,0.632415831,81.29943996,2011.979501,112.6972241,Vcmax,Old,34,73.32550341,200,0.632456501,81.29745284,2012.243419,112.6989292,Vcmax,New,34
20511,188.267057,149.5177373,0.508098475,50.03020664,564.3435246,53.24948184,Vcmax,Old,35,185.7468329,149.5829994,0.508289972,50.02874651,564.3249374,53.24928422,Vcmax,New,35
1336,63.16951831,200,0.625649383,52.3712904,583.5032283,51.65804337,Vcmax,Old,35,60.67951043,200,0.62570996,52.37194822,583.5568879,51.65859511,Vcmax,New,35
2062,254.6849733,250.2319257,0.845402283,98.66746095,1384.152315,58.63256204,Vcmax,Old,36,252.0857422,250.2220802,0.845342783,98.65972494,1383.784239,58.63096629,Vcmax,New,36
1337,22.26662385,200,0.613294399,109.6642756,1631.306918,57.82656404,Vcmax,Old,36,19.75354371,200,0.613395966,109.6695402,1631.965568,57.82898609,Vcmax,New,36
2056,54.23567588,370.8440985,1.180691859,98.06530951,0.085186817,1.874842415,Vcmax,Old,37,51.73168114,370.7003261,1.18024814,98.06604138,0.08313242,1.75278275,Vcmax,New,37
1338,75.6059761,200,0.643031789,97.22479005,418.2589144,42.76045069,Vcmax,Old,37,73.11185026,200,0.643045826,97.2337501,418.7057738,42.76578973,Vcmax,New,37
1825,80.39802381,116.3551451,0.377059902,110.5743819,7527.600256,58.82104323,Vcmax,Old,38,75.62616169,129.9492051,0.419212866,109.8935774,7432.904651,58.75774532,Vcmax,New,38
1339,69.69083691,200,0.63946529,107.2669979,7050.793373,56.88442454,Vcmax,Old,38,67.20139938,200,0.63948082,107.2660916,7050.676792,56.88434187,Vcmax,New,38
1911,109.3546539,115.4111643,0.381469799,122.3128247,5280.40655,119.5212787,Vcmax,Old,39,106.8677873,115.5420256,0.381890618,122.3106423,5280.243785,119.5209088,Vcmax,New,39
1340,60.70184147,200,0.631085608,118.289399,5862.50045,118.2912495,Vcmax,Old,39,58.21879525,200,0.631114724,118.278738,5863.464511,118.2932227,Vcmax,New,39
1341,57.46086436,200,0.626801092,111.6286308,10051.79026,142.3567901,Vcmax,Old,40,54.97108458,200,0.62683854,111.6203833,10053.27381,142.3588562,Vcmax,New,40
2522,50.36126855,560.9575838,1.768206576,67.50411502,10567.47665,171.7594675,Vcmax,Old,41,47.84595959,560.2492062,1.765986617,67.49984745,10568.5484,171.7611915,Vcmax,New,41
1342,59.34531083,200,0.630166897,67.3684297,10913.43232,169.4738804,Vcmax,Old,41,56.84729977,200,0.63019079,67.3655131,10913.85789,169.4745433,Vcmax,New,41
1343,65.02951672,200,0.630736539,68.06644411,4066.256586,113.9010088,Vcmax,Old,42,62.52961455,200,0.630758663,68.06403898,4065.991862,113.9002275,Vcmax,New,42
211,94.80905846,222.0071912,0.707638749,51.52193136,10106.57996,127.3114819,Vcmax,Old,43,92.30882717,222.0569119,0.707810913,51.52058443,10106.22612,127.3110618,Vcmax,New,43
1344,99.34860844,200,0.639291921,51.71840767,10119.23837,124.8415958,Vcmax,Old,43,96.8661722,200,0.639311122,51.71844924,10118.97495,124.8412834,Vcmax,New,43
1952,205.0142118,170.7817914,0.575851186,56.57490371,2985.622978,104.8464769,Vcmax,Old,44,202.3358853,170.7237022,0.575621591,56.57158593,2985.666805,104.8466383,Vcmax,New,44
1345,85.50856785,200,0.631471066,51.80158093,3168.253577,103.1016745,Vcmax,Old,44,83.02200176,200,0.631497039,51.79649815,3168.51677,103.1025883,Vcmax,New,44
2021,58.82003417,1580.91956,5.192366869,57.30631692,1004.70802,125.5067931,Vcmax,Old,45,56.37604104,1577.060299,5.179679072,57.30400939,1004.693887,125.5065681,Vcmax,New,45
1346,61.77314084,200,0.644174237,57.38529559,1056.924947,123.544872,Vcmax,Old,45,59.35648012,200,0.644225181,57.38698055,1056.904347,123.5445602,Vcmax,New,45
1851,61.22383953,200.6991036,0.636025537,74.69915925,5.727056523,22.91539385,Vcmax,Old,46,58.76600313,200.4094791,0.635139425,74.6963897,5.711088987,22.90143394,Vcmax,New,46
1347,61.28463691,200,0.63382562,74.70363663,5.72761186,21.30644075,Vcmax,Old,46,58.80180057,200,0.633850948,74.69902793,5.711281036,21.29216416,Vcmax,New,46
1933,75.01549379,205.3764033,0.658109732,46.83026511,21.76603566,29.59113912,Vcmax,Old,47,72.55084166,205.3414308,0.658020139,46.82875099,21.74803339,29.587002,Vcmax,New,47
1348,76.22202889,200,0.641339269,46.87400283,21.84579841,27.99999047,Vcmax,Old,47,73.75286476,200,0.641359478,46.87239566,21.82717901,27.9957271,Vcmax,New,47
1944,70.37602552,357.8197277,1.147371699,59.33922364,4.540740248,21.75483558,Vcmax,Old,48,67.90115327,357.5858302,1.14664042,59.33538514,4.561643653,21.77780038,Vcmax,New,48
1349,93.92172871,200,0.649064616,62.50161587,226.9484917,39.70356283,Vcmax,Old,48,91.44088944,200,0.649077301,62.50497723,227.2940519,39.71117023,Vcmax,New,48
1251,40,12,0.65,94.74474108,574.4998097,20.46219521,Vcmax,Old,49,40,14,0.65,94.74474108,574.4348099,20.46196891,Vcmax,New,49
15,40,200,0.65,94.74474108,808.1665022,20.4515847,Vcmax,Old,49,40,200,0.65,94.74474108,759.8461332,20.32828041,Vcmax,New,49
2073,53.0082181,468.5227988,1.485793105,68.79410436,37.07150141,32.25362792,Vcmax,Old,50,50.54907872,461.8783313,1.464628882,68.78878793,37.15104529,32.26434487,Vcmax,New,50
1351,59.57415503,200,0.632534883,69.17780584,43.63562081,31.45931646,Vcmax,Old,50,57.08929007,200,0.63256172,69.17341201,43.63337625,31.45905926,Vcmax,New,50
1912,61.27908572,418.3909975,1.330179628,60.71968346,3.841585119,20.9188107,Vcmax,Old,51,58.79816514,416.9135114,1.325488388,60.71555949,3.820086414,20.89075055,Vcmax,New,51
1352,72.17756186,200,0.637533901,61.17591457,29.02293869,29.42037995,Vcmax,Old,51,69.69603474,200,0.637554178,61.17345016,28.94749582,29.40736592,Vcmax,New,51
2012,68.27196248,307.3052011,0.980221203,69.07960164,1.810124288,17.15636288,Vcmax,Old,52,65.79894249,306.9265503,0.979034438,69.07573476,1.796471586,17.11850789,Vcmax,New,52
