,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
214,Oct_18,London,0.051474661,0.064467183,4.961868139,0.051524986,0.064517508,4.965741541,0.07086168,0.109521279,2.832964711,0.070947176,0.109606775,2.835176218,0.027104273,0.040096796,3.086144024,0.027151997,0.04014452,3.089817222,0.029459592,0.06811919,1.762025283,0.029540669,0.068200267,1.764122485
215,Oct_19,Albuquerque,0.076558315,0.100278984,4.22749391,0.076556707,0.100277376,4.227426134,0.09952232,0.170360826,2.404918393,0.099519589,0.170358094,2.404879836,0.058418655,0.082139324,3.462774318,0.05841955,0.082140219,3.462812066,0.068705419,0.139543925,1.969888029,0.06870694,0.139545446,1.969909503
216,Oct_19,London,0.060901521,0.07419186,5.582390479,0.060940929,0.074231268,5.585355645,0.086220016,0.126042228,3.165123721,0.086286965,0.126109177,3.166804921,0.045764777,0.059055115,4.443462042,0.045779238,0.059069577,4.444550178,0.060504674,0.100326886,2.519370002,0.060529243,0.100351455,2.519986957
217,Aug_17,Albuquerque,0.002631506,0.074636161,1.036546328,0.002631646,0.074636302,1.036548278,-0.089690133,0.126797038,0.585702317,-0.089689895,0.126797276,0.585703418,0.054107603,0.126112259,1.7514459,0.054106746,0.126111402,1.751433991,-0.002239003,0.214248168,0.989657571,-0.00224046,0.214246711,0.989650842
218,Aug_17,London,0.041684628,0.078883472,2.120589342,0.041684841,0.078883685,2.120595081,0.021884101,0.13401266,1.195169731,0.021884463,0.134013022,1.195172965,0.132498089,0.169696933,4.561887301,0.132494954,0.169693798,4.561803023,0.176164246,0.288292805,2.571091683,0.17615892,0.288287479,2.571044183
219,Aug_18,Albuquerque,0.004364677,0.074563452,1.062175976,0.004364301,0.074563075,1.062170611,-0.085126002,0.126673514,0.598082167,-0.085126642,0.126672874,0.598079147,0.042657132,0.112855906,1.607662054,0.042656209,0.112854984,1.607648916,-0.020072151,0.191727365,0.905230421,-0.020073718,0.191725798,0.905223023
220,Aug_18,London,0.046907623,0.08376548,2.272662794,0.046909278,0.083767135,2.272707706,0.03114456,0.142306551,1.280172745,0.031147372,0.142309363,1.280198044,0.12999696,0.166854816,4.526980974,0.129995352,0.166853209,4.526937365,0.172302432,0.283464423,2.550012117,0.172299702,0.283461692,2.549987552
221,Aug_19,Albuquerque,-0.008093495,0.059957471,0.881067155,-0.008097371,0.059953595,0.881010198,-0.103167842,0.101859869,0.496810255,-0.103174427,0.101853285,0.496778138,0.001944463,0.069995429,1.028573633,0.001942001,0.069992967,1.028537451,-0.086114669,0.118913042,0.579985221,-0.086118852,0.118908859,0.579964819
222,Aug_19,London,0.046130186,0.082353775,2.273484706,0.046132133,0.082355721,2.273538454,0.030532589,0.139908249,1.279153417,0.030535897,0.139911556,1.279183658,0.135265522,0.171489111,4.734183379,0.135262345,0.171485934,4.734095669,0.181961821,0.29133748,2.6636409,0.181956423,0.291332083,2.663591551
223,May_17,Albuquerque,0.034424486,0.062087243,2.244434339,0.03443502,0.062097778,2.24481516,0.022311358,0.105478073,1.26827269,0.022329255,0.10549597,1.268487883,0.114001558,0.141664316,5.121120518,0.114020722,0.14168348,5.1218133,0.157502355,0.24066907,2.893814795,0.157534913,0.240701628,2.894206269
224,May_17,London,0.033769575,0.053460096,2.71501684,0.033819881,0.053510402,2.717571665,0.031798983,0.090821683,1.538758541,0.031884446,0.090907146,1.54020651,0.052431353,0.072121874,3.662771255,0.052482644,0.072173165,3.665376118,0.063502894,0.122525594,2.075906297,0.063590031,0.12261273,2.077382625
225,May_18,Albuquerque,0.037721423,0.069336574,2.193143855,0.037739105,0.069354255,2.193703139,0.023079156,0.117793734,1.243670585,0.023109196,0.117823773,1.243987739,0.136713151,0.168328302,5.32429225,0.136724126,0.168339277,5.324639394,0.191253104,0.285967681,3.019257328,0.191271749,0.285986326,3.019454183
